antecedente,consecuente,soporte_a,soporte_c,soporte_ab,confianza,lift,conteo
ASERRIN VERDE OSCURO 200gr,ASERRIN AMARILLO 200gr,0.019469773177142487,0.019469773177142487,0.012979848784761659,66.66666666666666,27.39,4
ASERRIN AMARILLO 200gr,ASERRIN ROJO 200gr,0.019469773177142487,0.019469773177142487,0.012979848784761659,66.66666666666666,27.39,4
ASERRIN VERDE OSCURO 200gr,ASERRIN ROJO 200gr,0.019469773177142487,0.019469773177142487,0.012979848784761659,66.66666666666666,27.39,4
ph. delsey 2 preg. 12x4,DOÑA BLANCA CIL. 250 G,0.019469773177142487,0.016224810980952072,0.009734886588571244,50.0,24.65,3
ARROZ TIO PELON ROJO 91% 9K,CAFE DORADO 2PACK,0.02920465976571373,0.02920465976571373,0.025959697569523318,88.88888888888889,24.35,8
ph. delsey 2 preg. 12x4,ATUN TESORA DEL MAR TICOPICA 140 GS,0.019469773177142487,0.03569458415809455,0.019469773177142487,100.0,22.41,6
TORTILLA STRIP,TORTILLA STRIPS CHEDAR CHIPOTLE,0.016224810980952072,0.0227147353733329,0.009734886588571244,60.0,21.13,3
TIRAS ACTIVAS MR MUSCULO LAVANDA,MULTIUSO SCOTT,0.016224810980952072,0.016224810980952072,0.006489924392380829,40.0,19.72,2
MILAN x 12 und,TAPITA GALLITO 102 GS 12unid,0.016224810980952072,0.025959697569523318,0.009734886588571244,60.0,18.49,3
DOÑA BLANCA CIL. 250 G,ATUN TESORA DEL MAR TICOPICA 140 GS,0.016224810980952072,0.03569458415809455,0.012979848784761659,80.0,17.93,4
ALIMENTO PARA CONEJO ENGORDE 1K,MARSHMALLOW STARS QUAKER 377G,0.025959697569523318,0.0227147353733329,0.012979848784761659,50.0,17.61,4
DETERGENTE IREX ACEITE LAVANDA 450gr,ARROZ TIO PELON ROJO 91% 9K,0.0454294707466658,0.02920465976571373,0.02920465976571373,64.28571428571429,17.61,9
GELATINA ROYAL UVA 40G,GELATINA ROYAL CEREZA 40G,0.0227147353733329,0.019469773177142487,0.009734886588571244,42.857142857142854,17.61,3
PAPAEL HIGIENICO SCOTT 1X12 DOBLE HOJA,MARSHMALLOW STARS QUAKER 377G,0.019469773177142487,0.0227147353733329,0.009734886588571244,50.0,17.61,3
GALLETA POZUELO CREMAS 12  U,CHIKY CHOC. 12,0.019469773177142487,0.016224810980952072,0.006489924392380829,33.33333333333333,16.44,2
SORBETO FESTIVAL VAINILLA,RINSO ROSAS Y LILAS 1500G,0.016224810980952072,0.019469773177142487,0.006489924392380829,40.0,16.44,2
ESTUCHE PVC WAFINO-LEXUS 100G 1X20,Mani Cascara 237g,0.016224810980952072,0.019469773177142487,0.006489924392380829,40.0,16.44,2
MILAN x 12 und,Bon o bon choco fresa 75g,0.016224810980952072,0.019469773177142487,0.006489924392380829,40.0,16.44,2
ATUN SPLASH BBB VEGETALES 140 GS,ATUN SPLASH TROZOS 140 GS BBB,0.016224810980952072,0.019469773177142487,0.006489924392380829,40.0,16.44,2
CANDELA PLATEADO #1,CANDELA PLATEADO #6,0.019469773177142487,0.016224810980952072,0.006489924392380829,33.33333333333333,16.44,2
3 Pack bacterion aloe,papel aluminio 30m,0.019469773177142487,0.016224810980952072,0.006489924392380829,33.33333333333333,16.44,2
MILAN x 12 und,CHCOCOLATE GALLITO SURTIDO EN CAJA 205 GS,0.016224810980952072,0.019469773177142487,0.006489924392380829,40.0,16.44,2
GELATINA ROYAL CEREZA 40G,CHIKY CHOC. 12,0.019469773177142487,0.016224810980952072,0.006489924392380829,33.33333333333333,16.44,2
JABON IREX CILINDRO 180GRS,DOÑA BLANCA CIL. 250 G,0.019469773177142487,0.016224810980952072,0.006489924392380829,33.33333333333333,16.44,2
spaghetti 3 pack roma Z,xedex det. maximo poder limon 800 gr.,0.016224810980952072,0.019469773177142487,0.006489924392380829,40.0,16.44,2
