Producto_A,Codigo_A,Producto_B,Codigo_B,Soporte_Conjunto_%,Confianza_%,Lift,Soporte_A_%,Soporte_B_%
ASERRIN VERDE OSCURO 200gr,7443018376942,ASERRIN AMARILLO 200gr,7443018376959,0.01,66.67,27.39,0.02,0.02
ASERRIN AMARILLO 200gr,7443018376959,ASERRIN ROJO 200gr,7443018376935,0.01,66.67,27.39,0.02,0.02
ASERRIN VERDE OSCURO 200gr,7443018376942,ASERRIN ROJO 200gr,7443018376935,0.01,66.67,27.39,0.02,0.02
ph. delsey 2 preg. 12x4,7441008102342,DOÑA BLANCA CIL. 250 G,99176003694,0.01,50.0,24.65,0.02,0.02
ARROZ TIO PELON ROJO 91% 9K,7441006022321,CAFE DORADO 2PACK,836778005967,0.03,88.89,24.35,0.03,0.03
ph. delsey 2 preg. 12x4,7441008102342,ATUN TESORA DEL MAR TICOPICA 140 GS,7441002649331,0.02,100.0,22.41,0.02,0.04
TORTILLA STRIP,768965000069,TORTILLA STRIPS CHEDAR CHIPOTLE,768965000212,0.01,60.0,21.13,0.02,0.02
TIRAS ACTIVAS MR MUSCULO LAVANDA,7501032915490,MULTIUSO SCOTT,7441008160229,0.01,40.0,19.72,0.02,0.02
MILAN x 12 und,7441001620287,TAPITA GALLITO 102 GS 12unid,7441001620355,0.01,60.0,18.49,0.02,0.03
DOÑA BLANCA CIL. 250 G,99176003694,ATUN TESORA DEL MAR TICOPICA 140 GS,7441002649331,0.01,80.0,17.93,0.02,0.04
ALIMENTO PARA CONEJO ENGORDE 1K,7443007530430,MARSHMALLOW STARS QUAKER 377G,803275000528,0.01,50.0,17.61,0.03,0.02
DETERGENTE IREX ACEITE LAVANDA 450gr,748928012032,ARROZ TIO PELON ROJO 91% 9K,7441006022321,0.03,64.29,17.61,0.05,0.03
GELATINA ROYAL UVA 40G,7622300134082,GELATINA ROYAL CEREZA 40G,7622300134051,0.01,42.86,17.61,0.02,0.02
PAPAEL HIGIENICO SCOTT 1X12 DOBLE HOJA,7441008174967,MARSHMALLOW STARS QUAKER 377G,803275000528,0.01,50.0,17.61,0.02,0.02
GALLETA POZUELO CREMAS 12  U,86581005085,CHIKY CHOC. 12,86581010881,0.01,33.33,16.44,0.02,0.02
SORBETO FESTIVAL VAINILLA,86581004187,RINSO ROSAS Y LILAS 1500G,7411000384602,0.01,40.0,16.44,0.02,0.02
ESTUCHE PVC WAFINO-LEXUS 100G 1X20,8684154701338,Mani Cascara 237g,7443016970364,0.01,40.0,16.44,0.02,0.02
MILAN x 12 und,7441001620287,Bon o bon choco fresa 75g,7500443004748,0.01,40.0,16.44,0.02,0.02
ATUN SPLASH BBB VEGETALES 140 GS,7441002653505,ATUN SPLASH TROZOS 140 GS BBB,7441002653499,0.01,40.0,16.44,0.02,0.02
CANDELA PLATEADO #1,6811231356507,CANDELA PLATEADO #6,6811236356502,0.01,33.33,16.44,0.02,0.02
3 Pack bacterion aloe,7443010584369,papel aluminio 30m,9090400190006,0.01,33.33,16.44,0.02,0.02
MILAN x 12 und,7441001620287,CHCOCOLATE GALLITO SURTIDO EN CAJA 205 GS,7441001647277,0.01,40.0,16.44,0.02,0.02
GELATINA ROYAL CEREZA 40G,7622300134051,CHIKY CHOC. 12,86581010881,0.01,33.33,16.44,0.02,0.02
JABON IREX CILINDRO 180GRS,748928000596,DOÑA BLANCA CIL. 250 G,99176003694,0.01,33.33,16.44,0.02,0.02
spaghetti 3 pack roma Z,731701013791,xedex det. maximo poder limon 800 gr.,7411000360064,0.01,40.0,16.44,0.02,0.02
Salsa tomate Lizano,7411000347362,CLORO IREX BOLSA 450ML,748928001128,0.01,40.0,16.44,0.02,0.02
DETERGENTE IREX ACEITE LAVANDA 450gr,748928012032,CAFE DORADO 2PACK,836778005967,0.03,57.14,15.65,0.05,0.03
COLOR VEG ROJO,7441094102318,COLOR VEG VERDE,7441094102349,0.01,50.0,15.41,0.03,0.03
PAPAEL HIGIENICO SCOTT 1X12 DOBLE HOJA,7441008174967,ALIMENTO PARA CONEJO ENGORDE 1K,7443007530430,0.01,50.0,15.41,0.02,0.03
ACEITE CLOVER SOYA 3 LTR,751963311619,ARROZ TIO PELON 90% SELE 1.5kg,7441006003863,0.01,50.0,15.41,0.02,0.03
bokita club integral bs 9,7441163406811,AXION BARRA LIMON 250G,99176003489,0.01,30.0,14.79,0.03,0.02
GELATINA ROYAL LIMON BOLS80GRS,7622300718923,GELATINA UVA 80 GS Z,7622300718909,0.01,30.0,14.79,0.03,0.02
GALLETA DULCE NAVIDAD,7703963056062,GALLETA MINI MANTEQUILLA POZUELO,7441163414267,0.01,28.57,14.09,0.02,0.02
MILAN x 12 und,7441001620287,GALLETA MILAN MENTA 134G,7441001650093,0.01,40.0,14.09,0.02,0.02
BEBIDA PREPARADA KARMA PIñA COLADA 350 ML,7401000709291,BEBIDA PREPARADA KARMAMANGODAIQUIRI 350 ML,7401000709277,0.01,28.57,14.09,0.02,0.02
CORTINA DE FIESTA 04095/51058-51,8118901181796,GLOBOS COLORES 10 U,8998512290106,0.01,28.57,14.09,0.02,0.02
TORTILLA TETE FAJAS 500 GS,7441031600495,GALLETA YEMA POZUELO PTE/6,7441163400185,0.01,28.57,14.09,0.02,0.02
MARSHMALLOW STARS QUAKER 377G,803275000528,TIRAS ACTIVAS MR MUSCULO LAVANDA,7501032915490,0.01,28.57,14.09,0.02,0.02
ZUKO TE FRIO FRAMBUESA 13gr,7503037746437,ZUKO LIMON 13gr,7503037746147,0.01,28.57,14.09,0.02,0.02
CANELON PETALO ROMA,731701015696,GALLETA YEMA POZUELO PTE/6,7441163400185,0.01,28.57,14.09,0.02,0.02
ADAN Y EVA TONIC PEPINO,764009053138,ADAN Y EVA ORANGE SPRITZ,764009053152,0.01,28.57,14.09,0.02,0.02
ADAN Y EVA TONIC PEPINO,764009053138,ADAN Y EVA MOSCOW MULE 3550 ML,764009053145,0.01,28.57,14.09,0.02,0.02
BEBIDA PREPARADA KARMA GUARANA 350 ML,7401000710808,BEBIDA PREPARADA KARMAMANGODAIQUIRI 350 ML,7401000709277,0.01,28.57,14.09,0.02,0.02
"avena corazon inst, linaza",803275305593,ph. delsey 2 preg. 12x4,7441008102342,0.01,33.33,13.7,0.03,0.02
CORAZON GALLITO 25und,7441001622434,Bon o bon choco fresa 75g,7500443004748,0.01,33.33,13.7,0.03,0.02
PROTECTOR KOTEX  LARGOS 1X15,7441008156741,ARROZ TIO PELON ROJO 91% 9K,7441006022321,0.01,50.0,13.7,0.03,0.03
ACEITE CLOVER SOYA 3 LTR,751963311619,CONSOME DE POLLO MAGGUI 225G,7613032774134,0.01,33.33,13.7,0.02,0.02
CONSOME DE POLLO MAGGUI 225G,7613032774134,RINSO ROSAS Y LILAS 1500G,7411000384602,0.01,33.33,13.7,0.02,0.02
ACEITE CLOVER SOYA 3 LTR,751963311619,RINSO ROSAS Y LILAS 1500G,7411000384602,0.01,33.33,13.7,0.02,0.02
ANGELITO CHOCOLATE,7441004100137,ANGELITO FRESA,7441004100120,0.02,50.0,13.7,0.04,0.03
AXION LIQUIDO 400 ML,7509546657684,Suavisante Terso,7406171012546,0.01,33.33,13.7,0.02,0.02
ARROZ TIO PELON ROJO 91% 9K,7441006022321,LAVAPLATOS IREX  LIMON 250GRS,748928001265,0.02,55.56,13.7,0.03,0.03
ACEITE CAPULLO 900 ML OFERTA,7441007201190,ARROZ TIO PELON ROJO 91% 9K,7441006022321,0.01,50.0,13.7,0.03,0.03
PAPAEL HIGIENICO SCOTT 1X12 DOBLE HOJA,7441008174967,"FULIDER CUADERNO COSIDO PEQ UNICOLOR 165X210,55G 50H 96/CJ",6604072010031,0.01,33.33,13.7,0.02,0.02
ACEITE CLOVER SOYA 3 LTR,751963311619,LIMP FABULOSO CITRICUS BO,99176132493,0.01,33.33,13.7,0.02,0.02
JABON IREX CILINDRO 180GRS,748928000596,ph. delsey 2 preg. 12x4,7441008102342,0.01,33.33,13.7,0.02,0.02
ACEITE CLOVER SOYA 3 LTR,751963311619,TORTILLA 250 GS CLASICA GINA,7441031600235,0.01,33.33,13.7,0.02,0.02
ACEITE CAPULLO 900 ML OFERTA,7441007201190,CAFE DORADO 2PACK,836778005967,0.01,50.0,13.7,0.03,0.03
CHCOCOLATE GALLITO SURTIDO EN CAJA 205 GS,7441001647277,CORAZON GALLITO 25und,7441001622434,0.01,50.0,13.7,0.02,0.03
CHCOCOLATE GALLITO SURTIDO EN CAJA 205 GS,7441001647277,Bon o bon choco fresa 75g,7500443004748,0.01,33.33,13.7,0.02,0.02
RINSO ROSAS Y LILAS 1500G,7411000384602,TORTILLA 250 GS CLASICA GINA,7441031600235,0.01,33.33,13.7,0.02,0.02
DETERG. ORIX 900 GR,748928001876,FRIJOL NEGOR LA TROJA 700 GS,7441057503398,0.02,70.0,13.28,0.03,0.04
MARSHMALLOW STARS QUAKER 377G,803275000528,SALSA SOFRITO ROMA,731701014965,0.01,42.86,13.21,0.02,0.03
ZUKO TE FRIO FRAMBUESA 13gr,7503037746437,PROTECTOR KOTEX  LARGOS 1X15,7441008156741,0.01,42.86,13.21,0.02,0.03
PAPEL ALUMINIO ALUMINE 16 PIES,7441067604597,MARSHMALLOW STARS QUAKER 377G,803275000528,0.01,36.36,12.81,0.04,0.02
